Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,MANCHESTER,2018,Net change,Places,2.0
For-profit,MANCHESTER,2022,Entries,Places,14.0
For-profit,MANCHESTER,2018,Entries,Children's homes,1.0
For-profit,MANCHESTER,2023,Entries,Places,6.0
Local Authority,MANCHESTER,2014,Exits,Children's homes,2.0
For-profit,MANCHESTER,2021,Entries,Children's homes,5.0
For-profit,MANCHESTER,2017,Entries,Places,2.0
Local Authority,MANCHESTER,2014,Exits,Places,0.0
Local Authority,MANCHESTER,2017,Entries,Places,5.0
For-profit,MANCHESTER,2019,Entries,Children's homes,1.0
For-profit,MANCHESTER,2020,Exits,Places,10.0
For-profit,MANCHESTER,2014,Exits,Places,0.0
For-profit,MANCHESTER,2023,Net change,Places,6.0
For-profit,MANCHESTER,2016,Exits,Children's homes,6.0
Local Authority,MANCHESTER,2016,Exits,Places,12.0
For-profit,MANCHESTER,2019,Exits,Children's homes,1.0
For-profit,MANCHESTER,2021,Net change,Places,8.0
For-profit,MANCHESTER,2016,Entries,Places,5.0
For-profit,MANCHESTER,2016,Entries,Children's homes,1.0
For-profit,MANCHESTER,2022,Net change,Children's homes,2.0
For-profit,MANCHESTER,2021,Net change,Children's homes,3.0
For-profit,MANCHESTER,2023,Entries,Children's homes,2.0
Local Authority,MEDWAY,2020,Exits,Children's homes,4.0
For-profit,MEDWAY,2020,Exits,Children's homes,3.0
For-profit,MEDWAY,2021,Entries,Places,13.0
For-profit,MEDWAY,2020,Exits,Places,18.0
Local Authority,MEDWAY,2020,Exits,Places,13.0
Local Authority,MEDWAY,2020,Entries,Places,6.0
For-profit,MEDWAY,2021,Net change,Children's homes,2.0
Third Sector,MEDWAY,2014,Exits,Children's homes,1.0
For-profit,MEDWAY,2022,Entries,Places,9.0
For-profit,MEDWAY,2021,Net change,Places,13.0
For-profit,MEDWAY,2021,Entries,Children's homes,2.0
Third Sector,MEDWAY,2014,Exits,Places,0.0
Local Authority,MEDWAY,2020,Entries,Children's homes,1.0
Local Authority,MEDWAY,2020,Net change,Places,-7.0
For-profit,MEDWAY,2020,Net change,Places,-18.0
Local Authority,MEDWAY,2020,Net change,Children's homes,-3.0
For-profit,MEDWAY,2020,Net change,Children's homes,-3.0
Third Sector,MEDWAY,2015,Exits,Places,0.0
For-profit,MEDWAY,2022,Net change,Children's homes,2.0
For-profit,MEDWAY,2022,Net change,Places,9.0
Third Sector,MEDWAY,2015,Exits,Children's homes,1.0
For-profit,MEDWAY,2022,Entries,Children's homes,2.0
Local Authority,MERTON,2017,Net change,Places,-7.0
For-profit,MERTON,2017,Net change,Places,-11.0
Local Authority,MERTON,2017,Net change,Children's homes,-2.0
For-profit,MERTON,2017,Net change,Children's homes,-6.0
For-profit,MERTON,2019,Net change,Places,4.0
For-profit,MERTON,2022,Net change,Children's homes,1.0
For-profit,MERTON,2019,Net change,Children's homes,1.0
For-profit,MERTON,2019,Entries,Children's homes,1.0
For-profit,MERTON,2017,Exits,Places,11.0
For-profit,MERTON,2023,Entries,Children's homes,1.0
Local Authority,MERTON,2017,Exits,Children's homes,2.0
For-profit,MERTON,2017,Exits,Children's homes,6.0
For-profit,MERTON,2022,Net change,Places,3.0
For-profit,MERTON,2016,Entries,Places,4.0
For-profit,MERTON,2019,Entries,Places,4.0
For-profit,MERTON,2023,Net change,Places,3.0
For-profit,MERTON,2023,Entries,Places,3.0
For-profit,MERTON,2023,Net change,Children's homes,1.0
For-profit,MERTON,2016,Entries,Children's homes,1.0
For-profit,MERTON,2022,Entries,Places,3.0
For-profit,MERTON,2022,Entries,Children's homes,1.0
Local Authority,MERTON,2017,Exits,Places,7.0
Local Authority,MIDDLESBROUGH,2019,Exits,Children's homes,1.0
For-profit,MIDDLESBROUGH,2023,Net change,Places,6.0
For-profit,MIDDLESBROUGH,2023,Net change,Children's homes,2.0
For-profit,MIDDLESBROUGH,2018,Exits,Children's homes,2.0
Local Authority,MIDDLESBROUGH,2019,Entries,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2020,Net change,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2020,Net change,Places,2.0
For-profit,MIDDLESBROUGH,2022,Entries,Places,1.0
For-profit,MIDDLESBROUGH,2018,Net change,Places,-4.0
For-profit,MIDDLESBROUGH,2018,Net change,Children's homes,-2.0
For-profit,MIDDLESBROUGH,2022,Entries,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2020,Entries,Places,2.0
For-profit,MIDDLESBROUGH,2023,Entries,Children's homes,2.0
For-profit,MIDDLESBROUGH,2023,Entries,Places,6.0
For-profit,MIDDLESBROUGH,2016,Entries,Places,1.0
Local Authority,MIDDLESBROUGH,2017,Entries,Places,6.0
For-profit,MIDDLESBROUGH,2018,Exits,Places,4.0
Local Authority,MIDDLESBROUGH,2017,Entries,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2019,Entries,Places,4.0
Local Authority,MIDDLESBROUGH,2019,Net change,Places,-2.0
For-profit,MIDDLESBROUGH,2016,Entries,Children's homes,1.0
For-profit,MIDDLESBROUGH,2022,Net change,Places,1.0
Local Authority,MIDDLESBROUGH,2019,Net change,Children's homes,0.0
For-profit,MIDDLESBROUGH,2022,Net change,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2019,Exits,Places,6.0
Local Authority,MIDDLESBROUGH,2017,Net change,Places,6.0
Local Authority,MIDDLESBROUGH,2020,Entries,Children's homes,1.0
Local Authority,MIDDLESBROUGH,2017,Net change,Children's homes,1.0
For-profit,MILTON KEYNES,2021,Entries,Children's homes,1.0
For-profit,MILTON KEYNES,2021,Net change,Children's homes,1.0
For-profit,MILTON KEYNES,2023,Entries,Places,7.0
Local Authority,MILTON KEYNES,2020,Net change,Children's homes,-3.0
Local Authority,MILTON KEYNES,2020,Exits,Places,28.0
For-profit,MILTON KEYNES,2022,Net change,Places,2.0
For-profit,MILTON KEYNES,2021,Net change,Places,3.0
Local Authority,MILTON KEYNES,2020,Exits,Children's homes,3.0
For-profit,MILTON KEYNES,2021,Entries,Places,3.0
For-profit,MILTON KEYNES,2022,Entries,Places,2.0
For-profit,MILTON KEYNES,2022,Net change,Children's homes,1.0
For-profit,MILTON KEYNES,2023,Net change,Places,7.0
For-profit,MILTON KEYNES,2022,Entries,Children's homes,1.0
Local Authority,MILTON KEYNES,2020,Net change,Places,-28.0
For-profit,MILTON KEYNES,2023,Net change,Children's homes,2.0
For-profit,MILTON KEYNES,2023,Entries,Children's homes,2.0
For-profit,NEWCASTLE UPON TYNE,2016,Entries,Places,5.0
Local Authority,NEWCASTLE UPON TYNE,2020,Net change,Places,4.0
For-profit,NEWCASTLE UPON TYNE,2020,Net change,Places,6.0
Local Authority,NEWCASTLE UPON TYNE,2019,Net change,Places,-3.0
For-profit,NEWCASTLE UPON TYNE,2020,Entries,Children's homes,2.0
Local Authority,NEWCASTLE UPON TYNE,2020,Entries,Places,4.0
Third Sector,NEWCASTLE UPON TYNE,2020,Net change,Places,-9.0
Local Authority,NEWCASTLE UPON TYNE,2016,Entries,Children's homes,1.0
Third Sector,NEWCASTLE UPON TYNE,2019,Net change,Children's homes,-3.0
Local Authority,NEWCASTLE UPON TYNE,2016,Exits,Children's homes,2.0
Third Sector,NEWCASTLE UPON TYNE,2020,Exits,Children's homes,3.0
Third Sector,NEWCASTLE UPON TYNE,2020,Net change,Children's homes,-3.0
Local Authority,NEWCASTLE UPON TYNE,2019,Net change,Children's homes,0.0
Local Authority,NEWCASTLE UPON TYNE,2020,Net change,Children's homes,1.0
For-profit,NEWCASTLE UPON TYNE,2021,Entries,Children's homes,1.0
Third Sector,NEWCASTLE UPON TYNE,2021,Exits,Children's homes,1.0
For-profit,NEWCASTLE UPON TYNE,2021,Net change,Children's homes,1.0
Local Authority,NEWCASTLE UPON TYNE,2021,Entries,Children's homes,1.0
For-profit,NEWCASTLE UPON TYNE,2016,Entries,Children's homes,1.0
Local Authority,NEWCASTLE UPON TYNE,2019,Entries,Children's homes,2.0
Local Authority,NEWCASTLE UPON TYNE,2019,Exits,Places,7.0
Local Authority,NEWCASTLE UPON TYNE,2019,Entries,Places,4.0
Local Authority,NEWCASTLE UPON TYNE,2016,Entries,Places,6.0
Local Authority,NEWCASTLE UPON TYNE,2021,Entries,Places,3.0
Local Authority,NEWCASTLE UPON TYNE,2016,Exits,Places,6.0
Third Sector,NEWCASTLE UPON TYNE,2019,Exits,Places,26.0
Third Sector,NEWCASTLE UPON TYNE,2017,Entries,Children's homes,2.0
Third Sector,NEWCASTLE UPON TYNE,2019,Exits,Children's homes,3.0
Local Authority,NEWCASTLE UPON TYNE,2019,Exits,Children's homes,2.0
Third Sector,NEWCASTLE UPON TYNE,2021,Exits,Places,14.0
For-profit,NEWCASTLE UPON TYNE,2015,Exits,Children's homes,1.0
For-profit,NEWCASTLE UPON TYNE,2020,Entries,Places,6.0
For-profit,NEWCASTLE UPON TYNE,2015,Exits,Places,0.0
Third Sector,NEWCASTLE UPON TYNE,2021,Net change,Children's homes,-1.0
Third Sector,NEWCASTLE UPON TYNE,2021,Net change,Places,-14.0
Third Sector,NEWCASTLE UPON TYNE,2019,Net change,Places,-26.0
Local Authority,NEWCASTLE UPON TYNE,2020,Entries,Children's homes,1.0
Local Authority,NEWCASTLE UPON TYNE,2021,Net change,Children's homes,1.0
For-profit,NEWCASTLE UPON TYNE,2020,Net change,Children's homes,2.0
For-profit,NEWCASTLE UPON TYNE,2021,Net change,Places,4.0
For-profit,NEWCASTLE UPON TYNE,2021,Entries,Places,4.0
Third Sector,NEWCASTLE UPON TYNE,2017,Net change,Children's homes,2.0
Third Sector,NEWCASTLE UPON TYNE,2017,Net change,Places,17.0
Third Sector,NEWCASTLE UPON TYNE,2020,Exits,Places,9.0
Local Authority,NEWCASTLE UPON TYNE,2021,Net change,Places,3.0
Third Sector,NEWCASTLE UPON TYNE,2017,Entries,Places,17.0
For-profit,NEWHAM,2021,Net change,Places,4.0
For-profit,NEWHAM,2019,Exits,Children's homes,3.0
For-profit,NEWHAM,2022,Net change,Children's homes,1.0
For-profit,NEWHAM,2015,Exits,Children's homes,1.0
For-profit,NEWHAM,2021,Entries,Children's homes,1.0
For-profit,NEWHAM,2015,Exits,Places,0.0
For-profit,NEWHAM,2022,Net change,Places,6.0
For-profit,NEWHAM,2022,Entries,Places,6.0
For-profit,NEWHAM,2021,Net change,Children's homes,1.0
For-profit,NEWHAM,2020,Entries,Children's homes,1.0
For-profit,NEWHAM,2017,Entries,Places,7.0
For-profit,NEWHAM,2020,Exits,Children's homes,4.0
Local Authority,NEWHAM,2017,Exits,Places,6.0
For-profit,NEWHAM,2019,Exits,Places,11.0
For-profit,NEWHAM,2017,Entries,Children's homes,1.0
For-profit,NEWHAM,2019,Net change,Places,-8.0
For-profit,NEWHAM,2016,Entries,Places,3.0
For-profit,NEWHAM,2019,Net change,Children's homes,-2.0
For-profit,NEWHAM,2020,Exits,Places,9.0
For-profit,NEWHAM,2019,Entries,Children's homes,1.0
For-profit,NEWHAM,2020,Net change,Places,-5.0
For-profit,NEWHAM,2020,Net change,Children's homes,-3.0
For-profit,NEWHAM,2016,Entries,Children's homes,1.0
For-profit,NEWHAM,2019,Entries,Places,3.0
For-profit,NEWHAM,2021,Entries,Places,4.0
For-profit,NEWHAM,2017,Net change,Children's homes,1.0
Local Authority,NEWHAM,2017,Net change,Children's homes,-2.0
For-profit,NEWHAM,2017,Net change,Places,7.0
Local Authority,NEWHAM,2017,Net change,Places,-6.0
For-profit,NEWHAM,2022,Entries,Children's homes,1.0
For-profit,NEWHAM,2020,Entries,Places,4.0
Local Authority,NEWHAM,2017,Exits,Children's homes,2.0
For-profit,NORFOLK,2017,Exits,Children's homes,6.0
For-profit,NORFOLK,2022,Net change,Places,-46.0
For-profit,NORFOLK,2017,Entries,Children's homes,1.0
Third Sector,NORFOLK,2017,Exits,Children's homes,2.0
Third Sector,NORFOLK,2016,Exits,Places,8.0
For-profit,NORFOLK,2016,Exits,Places,34.0
For-profit,NORFOLK,2020,Entries,Places,8.0
For-profit,NORFOLK,2022,Net change,Children's homes,7.0
Third Sector,NORFOLK,2017,Net change,Places,-3.0
For-profit,NORFOLK,2015,Exits,Children's homes,2.0
For-profit,NORFOLK,2017,Exits,Places,20.0
Third Sector,NORFOLK,2017,Exits,Places,3.0
For-profit,NORFOLK,2015,Exits,Places,4.0
For-profit,NORFOLK,2022,Exits,Places,82.0
Third Sector,NORFOLK,2014,Exits,Children's homes,1.0
For-profit,NORFOLK,2017,Entries,Places,1.0
Third Sector,NORFOLK,2020,Entries,Places,2.0
For-profit,NORFOLK,2018,Entries,Children's homes,2.0
For-profit,NORFOLK,2021,Entries,Children's homes,2.0
Third Sector,NORFOLK,2016,Exits,Children's homes,2.0
For-profit,NORFOLK,2017,Net change,Children's homes,-5.0
For-profit,NORFOLK,2018,Entries,Places,11.0
Third Sector,NORFOLK,2017,Net change,Children's homes,-2.0
For-profit,NORFOLK,2017,Net change,Places,-19.0
Third Sector,NORFOLK,2014,Exits,Places,0.0
For-profit,NORFOLK,2016,Exits,Children's homes,5.0
For-profit,NORFOLK,2021,Exits,Children's homes,3.0
Local Authority,NORFOLK,2021,Net change,Children's homes,1.0
For-profit,NORFOLK,2019,Net change,Children's homes,2.0
Third Sector,NORFOLK,2020,Net change,Children's homes,1.0
Third Sector,NORFOLK,2019,Net change,Children's homes,-2.0
For-profit,NORFOLK,2019,Net change,Places,12.0
For-profit,NORFOLK,2020,Net change,Children's homes,2.0
For-profit,NORFOLK,2021,Net change,Children's homes,-1.0
Third Sector,NORFOLK,2019,Net change,Places,-4.0
For-profit,NORFOLK,2019,Entries,Places,12.0
Third Sector,NORFOLK,2020,Net change,Places,2.0
Third Sector,NORFOLK,2020,Entries,Children's homes,1.0
For-profit,NORFOLK,2019,Entries,Children's homes,2.0
For-profit,NORFOLK,2021,Entries,Places,7.0
For-profit,NORFOLK,2022,Entries,Places,36.0
For-profit,NORFOLK,2018,Net change,Children's homes,2.0
Local Authority,NORFOLK,2021,Net change,Places,2.0
For-profit,NORFOLK,2021,Net change,Places,-1.0
For-profit,NORFOLK,2022,Entries,Children's homes,11.0
Local Authority,NORFOLK,2021,Entries,Places,2.0
For-profit,NORFOLK,2020,Net change,Places,8.0
Third Sector,NORFOLK,2019,Exits,Places,4.0
For-profit,NORFOLK,2020,Entries,Children's homes,2.0
For-profit,NORFOLK,2021,Exits,Places,8.0
For-profit,NORFOLK,2022,Exits,Children's homes,4.0
Third Sector,NORFOLK,2019,Exits,Children's homes,2.0
For-profit,NORFOLK,2018,Net change,Places,11.0
Local Authority,NORFOLK,2021,Entries,Children's homes,1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Exits,Places,4.0
Local Authority,NORTH EAST LINCOLNSHIRE,2022,Net change,Places,-2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Exits,Children's homes,2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Entries,Children's homes,1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2014,Exits,Children's homes,1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2022,Net change,Children's homes,-2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2019,Entries,Children's homes,1.0
For-profit,NORTH EAST LINCOLNSHIRE,2014,Exits,Places,0.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Net change,Places,0.0
For-profit,NORTH EAST LINCOLNSHIRE,2014,Exits,Children's homes,1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2014,Exits,Places,0.0
Local Authority,NORTH EAST LINCOLNSHIRE,2023,Net change,Places,-5.0
Local Authority,NORTH EAST LINCOLNSHIRE,2022,Exits,Children's homes,2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2019,Net change,Children's homes,1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2019,Net change,Places,4.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Entries,Places,4.0
Local Authority,NORTH EAST LINCOLNSHIRE,2023,Exits,Places,5.0
Local Authority,NORTH EAST LINCOLNSHIRE,2023,Net change,Children's homes,-2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2019,Entries,Places,4.0
Local Authority,NORTH EAST LINCOLNSHIRE,2020,Net change,Children's homes,-1.0
Local Authority,NORTH EAST LINCOLNSHIRE,2023,Exits,Children's homes,2.0
Local Authority,NORTH EAST LINCOLNSHIRE,2022,Exits,Places,2.0
For-profit,NORTH LINCOLNSHIRE,2016,Entries,Children's homes,1.0
For-profit,NORTH LINCOLNSHIRE,2022,Net change,Places,4.0
For-profit,NORTH LINCOLNSHIRE,2022,Net change,Children's homes,1.0
For-profit,NORTH LINCOLNSHIRE,2022,Entries,Places,4.0
For-profit,NORTH LINCOLNSHIRE,2016,Exits,Places,4.0
For-profit,NORTH LINCOLNSHIRE,2016,Entries,Places,3.0
For-profit,NORTH LINCOLNSHIRE,2016,Exits,Children's homes,2.0
For-profit,NORTH LINCOLNSHIRE,2022,Entries,Children's homes,1.0
For-profit,NORTH NORTHAMPTONSHIRE,2022,Net change,Children's homes,6.0
For-profit,NORTH NORTHAMPTONSHIRE,2023,Net change,Children's homes,2.0
For-profit,NORTH NORTHAMPTONSHIRE,2023,Entries,Places,6.0
For-profit,NORTH NORTHAMPTONSHIRE,2023,Net change,Places,6.0
For-profit,NORTH NORTHAMPTONSHIRE,2021,Net change,Children's homes,3.0
For-profit,NORTH NORTHAMPTONSHIRE,2021,Entries,Children's homes,3.0
For-profit,NORTH NORTHAMPTONSHIRE,2023,Entries,Children's homes,2.0
For-profit,NORTH NORTHAMPTONSHIRE,2022,Net change,Places,17.0
For-profit,NORTH NORTHAMPTONSHIRE,2021,Entries,Places,8.0
For-profit,NORTH NORTHAMPTONSHIRE,2021,Net change,Places,8.0
For-profit,NORTH NORTHAMPTONSHIRE,2022,Entries,Places,17.0
For-profit,NORTH NORTHAMPTONSHIRE,2022,Entries,Children's homes,6.0
Third Sector,NORTH SOMERSET,2019,Net change,Places,4.0
Third Sector,NORTH SOMERSET,2019,Entries,Children's homes,1.0
For-profit,NORTH SOMERSET,2016,Entries,Places,3.0
Third Sector,NORTH SOMERSET,2016,Exits,Places,4.0
For-profit,NORTH SOMERSET,2017,Entries,Children's homes,1.0
For-profit,NORTH SOMERSET,2018,Exits,Places,3.0
For-profit,NORTH SOMERSET,2018,Exits,Children's homes,1.0
For-profit,NORTH SOMERSET,2017,Net change,Places,3.0
For-profit,NORTH SOMERSET,2015,Exits,Places,0.0
Third Sector,NORTH SOMERSET,2019,Net change,Children's homes,1.0
Third Sector,NORTH SOMERSET,2016,Exits,Children's homes,2.0
For-profit,NORTH SOMERSET,2017,Net change,Children's homes,1.0
Third Sector,NORTH SOMERSET,2019,Entries,Places,4.0
For-profit,NORTH SOMERSET,2018,Net change,Children's homes,-1.0
For-profit,NORTH SOMERSET,2016,Entries,Children's homes,1.0
For-profit,NORTH SOMERSET,2017,Entries,Places,3.0
For-profit,NORTH SOMERSET,2015,Exits,Children's homes,1.0
For-profit,NORTH SOMERSET,2018,Net change,Places,-3.0
For-profit,NORTH TYNESIDE,2022,Entries,Places,4.0
Local Authority,NORTH TYNESIDE,2015,Exits,Children's homes,1.0
For-profit,NORTH TYNESIDE,2022,Net change,Places,4.0
Local Authority,NORTH TYNESIDE,2020,Entries,Places,1.0
Local Authority,NORTH TYNESIDE,2019,Exits,Places,2.0
Local Authority,NORTH TYNESIDE,2022,Net change,Children's homes,3.0
Local Authority,NORTH TYNESIDE,2015,Exits,Places,0.0
Local Authority,NORTH TYNESIDE,2019,Net change,Places,-2.0
Local Authority,NORTH TYNESIDE,2019,Net change,Children's homes,-2.0
For-profit,NORTH TYNESIDE,2022,Net change,Children's homes,1.0
Third Sector,NORTH TYNESIDE,2020,Exits,Places,20.0
Third Sector,NORTH TYNESIDE,2016,Entries,Children's homes,2.0
Local Authority,NORTH TYNESIDE,2020,Exits,Children's homes,2.0
For-profit,NORTH TYNESIDE,2021,Entries,Places,3.0
For-profit,NORTH TYNESIDE,2021,Net change,Children's homes,1.0
Third Sector,NORTH TYNESIDE,2016,Entries,Places,26.0
Local Authority,NORTH TYNESIDE,2022,Entries,Children's homes,3.0
Local Authority,NORTH TYNESIDE,2019,Exits,Children's homes,2.0
Local Authority,NORTH TYNESIDE,2020,Exits,Places,4.0
Third Sector,NORTH TYNESIDE,2021,Net change,Children's homes,-1.0
For-profit,NORTH TYNESIDE,2021,Net change,Places,3.0
Third Sector,NORTH TYNESIDE,2021,Net change,Places,-6.0
Local Authority,NORTH TYNESIDE,2020,Entries,Children's homes,1.0
Local Authority,NORTH TYNESIDE,2022,Net change,Places,10.0
Third Sector,NORTH TYNESIDE,2020,Exits,Children's homes,1.0
Third Sector,NORTH TYNESIDE,2020,Net change,Places,-20.0
Local Authority,NORTH TYNESIDE,2022,Entries,Places,10.0
For-profit,NORTH TYNESIDE,2022,Entries,Children's homes,1.0
Third Sector,NORTH TYNESIDE,2021,Exits,Children's homes,1.0
Local Authority,NORTH TYNESIDE,2020,Net change,Places,-3.0
Third Sector,NORTH TYNESIDE,2020,Net change,Children's homes,-1.0
Local Authority,NORTH TYNESIDE,2020,Net change,Children's homes,-1.0
For-profit,NORTH TYNESIDE,2021,Entries,Children's homes,1.0
Third Sector,NORTH TYNESIDE,2021,Exits,Places,6.0
For-profit,NORTH YORKSHIRE,2018,Entries,Children's homes,1.0
Third Sector,NORTH YORKSHIRE,2017,Net change,Places,-6.0
Local Authority,NORTH YORKSHIRE,2019,Exits,Children's homes,2.0
For-profit,NORTH YORKSHIRE,2019,Net change,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2022,Entries,Children's homes,2.0
For-profit,NORTH YORKSHIRE,2020,Entries,Places,2.0
For-profit,NORTH YORKSHIRE,2021,Net change,Places,-6.0
Local Authority,NORTH YORKSHIRE,2017,Net change,Places,6.0
Local Authority,NORTH YORKSHIRE,2015,Exits,Places,0.0
Local Authority,NORTH YORKSHIRE,2017,Entries,Places,6.0
Third Sector,NORTH YORKSHIRE,2017,Exits,Places,6.0
Third Sector,NORTH YORKSHIRE,2019,Entries,Places,5.0
For-profit,NORTH YORKSHIRE,2020,Net change,Children's homes,1.0
Local Authority,NORTH YORKSHIRE,2019,Net change,Children's homes,-2.0
Third Sector,NORTH YORKSHIRE,2020,Exits,Children's homes,1.0
Third Sector,NORTH YORKSHIRE,2017,Net change,Children's homes,-2.0
Local Authority,NORTH YORKSHIRE,2017,Net change,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2022,Exits,Children's homes,2.0
For-profit,NORTH YORKSHIRE,2021,Exits,Places,6.0
For-profit,NORTH YORKSHIRE,2022,Exits,Places,6.0
Third Sector,NORTH YORKSHIRE,2020,Net change,Children's homes,-1.0
For-profit,NORTH YORKSHIRE,2016,Exits,Children's homes,2.0
Third Sector,NORTH YORKSHIRE,2019,Net change,Children's homes,1.0
Local Authority,NORTH YORKSHIRE,2019,Net change,Places,-5.0
For-profit,NORTH YORKSHIRE,2018,Net change,Places,5.0
For-profit,NORTH YORKSHIRE,2014,Exits,Children's homes,2.0
Third Sector,NORTH YORKSHIRE,2020,Exits,Places,5.0
For-profit,NORTH YORKSHIRE,2022,Entries,Places,9.0
For-profit,NORTH YORKSHIRE,2016,Entries,Places,14.0
For-profit,NORTH YORKSHIRE,2016,Entries,Children's homes,4.0
Local Authority,NORTH YORKSHIRE,2015,Exits,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2018,Net change,Children's homes,1.0
Third Sector,NORTH YORKSHIRE,2016,Exits,Places,0.0
For-profit,NORTH YORKSHIRE,2021,Exits,Children's homes,2.0
Third Sector,NORTH YORKSHIRE,2019,Entries,Children's homes,1.0
Third Sector,NORTH YORKSHIRE,2017,Exits,Children's homes,2.0
For-profit,NORTH YORKSHIRE,2019,Net change,Places,2.0
Third Sector,NORTH YORKSHIRE,2020,Net change,Places,-5.0
Local Authority,NORTH YORKSHIRE,2017,Entries,Children's homes,1.0
Third Sector,NORTH YORKSHIRE,2019,Net change,Places,5.0
For-profit,NORTH YORKSHIRE,2018,Entries,Places,5.0
For-profit,NORTH YORKSHIRE,2020,Net change,Places,2.0
For-profit,NORTH YORKSHIRE,2020,Entries,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2022,Net change,Children's homes,0.0
For-profit,NORTH YORKSHIRE,2022,Net change,Places,3.0
For-profit,NORTH YORKSHIRE,2016,Exits,Places,6.0
Local Authority,NORTH YORKSHIRE,2019,Exits,Places,5.0
Third Sector,NORTH YORKSHIRE,2016,Exits,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2019,Entries,Places,2.0
For-profit,NORTH YORKSHIRE,2019,Entries,Children's homes,1.0
For-profit,NORTH YORKSHIRE,2014,Exits,Places,0.0
For-profit,NORTH YORKSHIRE,2021,Net change,Children's homes,-2.0
Local Authority,NORTHAMPTONSHIRE,2019,Exits,Children's homes,4.0
For-profit,NORTHAMPTONSHIRE,2016,Entries,Children's homes,3.0
Third Sector,NORTHAMPTONSHIRE,2017,Net change,Children's homes,-2.0
Local Authority,NORTHAMPTONSHIRE,2020,Entries,Places,28.0
For-profit,NORTHAMPTONSHIRE,2018,Entries,Children's homes,6.0
For-profit,NORTHAMPTONSHIRE,2020,Entries,Children's homes,5.0
For-profit,NORTHAMPTONSHIRE,2016,Entries,Places,13.0
For-profit,NORTHAMPTONSHIRE,2015,Exits,Children's homes,5.0
For-profit,NORTHAMPTONSHIRE,2019,Exits,Children's homes,1.0
For-profit,NORTHAMPTONSHIRE,2018,Net change,Places,18.0
For-profit,NORTHAMPTONSHIRE,2019,Net change,Places,11.0
Local Authority,NORTHAMPTONSHIRE,2020,Exits,Places,21.0
Local Authority,NORTHAMPTONSHIRE,2019,Net change,Places,-14.0
For-profit,NORTHAMPTONSHIRE,2021,Net change,Children's homes,-1.0
For-profit,NORTHAMPTONSHIRE,2018,Entries,Places,18.0
Local Authority,NORTHAMPTONSHIRE,2020,Exits,Children's homes,6.0
For-profit,NORTHAMPTONSHIRE,2020,Net change,Places,18.0
Local Authority,NORTHAMPTONSHIRE,2020,Net change,Places,7.0
Local Authority,NORTHAMPTONSHIRE,2020,Entries,Children's homes,7.0
For-profit,NORTHAMPTONSHIRE,2021,Net change,Places,11.0
For-profit,NORTHAMPTONSHIRE,2021,Entries,Children's homes,3.0
For-profit,NORTHAMPTONSHIRE,2018,Net change,Children's homes,6.0
Local Authority,NORTHAMPTONSHIRE,2020,Net change,Children's homes,1.0
For-profit,NORTHAMPTONSHIRE,2019,Exits,Places,4.0
For-profit,NORTHAMPTONSHIRE,2017,Exits,Children's homes,10.0
For-profit,NORTHAMPTONSHIRE,2017,Exits,Places,30.0
Third Sector,NORTHAMPTONSHIRE,2017,Exits,Children's homes,2.0
For-profit,NORTHAMPTONSHIRE,2019,Entries,Children's homes,6.0
For-profit,NORTHAMPTONSHIRE,2017,Entries,Children's homes,10.0
Local Authority,NORTHAMPTONSHIRE,2019,Exits,Places,14.0
Local Authority,NORTHAMPTONSHIRE,2019,Net change,Children's homes,-4.0
For-profit,NORTHAMPTONSHIRE,2019,Entries,Places,15.0
For-profit,NORTHAMPTONSHIRE,2019,Net change,Children's homes,5.0
Third Sector,NORTHAMPTONSHIRE,2017,Net change,Places,-24.0
For-profit,NORTHAMPTONSHIRE,2021,Exits,Places,16.0
Third Sector,NORTHAMPTONSHIRE,2017,Exits,Places,24.0
For-profit,NORTHAMPTONSHIRE,2017,Net change,Children's homes,0.0
For-profit,NORTHAMPTONSHIRE,2017,Net change,Places,11.0
For-profit,NORTHAMPTONSHIRE,2015,Exits,Places,6.0
For-profit,NORTHAMPTONSHIRE,2017,Entries,Places,41.0
